,Name,Order,slug,Topics,Sections,Related Sections
,Welcome,1,c01-welcome,"Welcome!,What is the Toolkit?,Choose Your Own Adventure,Take the Homeownership Class,Homebuying Timeline","Welcome!, What is the Toolkit?, Choose Your Own Adventure, Take the Homeownership Class, Homebuying Timeline","s01-welcome, s02-what-is-the-toolkit, s03-choose-your-own-adventure, s04-take-the-homeownership-class, s05-homebuying-timeline"
,What's Your Budget?,2,c02-what-s-your-budget,"Intro: An Overview of Homebuying Costs,What it Costs to Own a Home,What Homes Can You Afford?,Setting and Sticking to a Budget,Understanding Your Credit,How to Increase Your Budget","What it Costs to Own a Home, What Homes Can You Afford?, Setting and Sticking to a Budget, Understanding Your Credit, How to Increase Your Budget","s00-intro-an-overview-of-homebuying-costs, s01-what-it-costs-to-own-a-home, s02-what-homes-can-you-afford, s03-setting-and-sticking-to-a-budget, s04-understanding-your-credit, s05-how-to-increase-your-budget"
,Build Your Homebuying Team,3,c03-build-your-homebuying-team,"Intro: Meet the Team!,Start with a Housing Counselor!,Finding a Realtor,Choosing a Lender,Finding Financial Help to Buy a Home","Start with a Housing Counselor!, Finding a Realtor, Choosing a Lender, Finding Financial Help to Buy a Home","s00-intro-meet-the-team, s01-start-with-a-housing-counselor, s02-finding-a-realtor, s03-choosing-a-lender, s04-finding-financial-help-to-buy-a-home"
,Get Pre-Approved for a Mortgage,4,c04-get-pre-approved-for-a-mortgage,"Intro: Process to Get a Mortgage,Important Loan terms,Shopping for Loans and Finding a Lender,Getting Pre-Approved,Learn More about Mortgage Options","Important Loan terms, Shopping for Loans and Finding a Lender, Getting Pre-Approved, Learn More about Mortgage Options","s00-intro-process-to-get-a-mortgage, s01-important-loan-terms, s02-shopping-for-loans-and-finding-a-lender, s03-getting-pre-approved, s04-learn-more-about-mortgage-options"
,Find a Home and Make an Offer,5,c05-find-a-home-and-make-an-offer,"Intro: Time to Find Your Home!,Decide What You Need and Want in a Home,What to Research About Any Home,Making an Offer,Option Fee and Earnest Money,Selecting an Inspector,Understanding the Appraisal,Credits and Negotiating with the Seller","Decide What You Need and Want in a Home, What to Research About Any Home, Making an Offer, Option Fee and Earnest Money, Selecting an Inspector, Understanding the Appraisal, Credits and Negotiating with the Seller","s00-intro-time-to-find-your-home, s01-decide-what-you-need-and-want-in-a-home, s02-what-to-research-about-any-home, s03-making-an-offer, s04-option-fee-and-earnest-money, s05-selecting-an-inspector, s06-understanding-the-appraisal, s07-credits-and-negotiating-with-the-seller"
,Finalize Your Mortgage,6,c06-finalize-your-mortgage,"Intro: Finalizing Your Mortgage,Understanding Sales Price versus Loan Amount,Navigate the Loan Approval Process,Know Your Rights as a Borrower,Be Careful wtih Contract for Deed Deals","Understanding Sales Price versus Loan Amount, Navigate the Loan Approval Process, Know Your Rights as a Borrower, Be Careful wtih Contract for Deed Deals","s00-intro-finalizing-your-mortgage, s01-understanding-sales-price-versus-loan-amount, s02-navigate-the-loan-approval-process, s03-know-your-rights-as-a-borrower, s04-be-careful-wtih-contract-for-deed-deals"
,Close on Your Home,7,c07-close-on-your-home,"""Intro: Closing 101, What to Expect"",Putting Money into Escrow,Homeowners Insurance & Other Coverage,Reviewing Your Closing Documents,It's Closing Day! What to Expect,What to do After Closing","Putting Money into Escrow, Homeowners Insurance & Other Coverage, Reviewing Your Closing Documents, It's Closing Day! What to Expect, What to do After Closing","s00-intro-closing-101-what-to-expect, s01-putting-money-into-escrow, s02-homeowners-insurance-other-coverage, s03-reviewing-your-closing-documents, s04-it-s-closing-day-what-to-expect, s06-what-to-do-after-closing"
,You're a Homeowner - Protect Your Home,8,c08-you-re-a-homeowner-protect-your-home,"Homeownership 101: What you can do to protect your home,Keep Up with Home Maintenance,Maintaining and Shopping for Insurance,Being Prepared for Disaster,Recovering from a Disaster,Property Taxes & Protesting Your Assessment,Passing Your Home Down to the Next Generation,Help to Keep Your Home","Keep Up with Home Maintenance, Maintaining and Shopping for Insurance, Being Prepared for Disaster, Recovering from a Disaster, Property Taxes & Protesting Your Assessment, Passing Your Home Down to the Next Generation, Help to Keep Your Home","s00-homeownership-101-what-you-can-do-to-protect-your-home, s01-keep-up-with-home-maintenance, s02-maintaining-and-shopping-for-insurance, s03-being-prepared-for-disaster, s04-recovering-from-a-disaster, s05-property-taxes-protesting-your-assessment, s06-passing-your-home-down-to-the-next-generation, s07-help-to-keep-your-home"
