Name,Order,slug,Topics,Name (from Topics),slug (from Topics)
Welcome,1,c01-welcome,"Welcome!,What is the Toolkit?,Choose Your Own Adventure,Take the Homeownership Class","Welcome!, What is the Toolkit?, Choose Your Own Adventure, Take the Homeownership Class","s01-welcome, s02-what-is-the-toolkit, s03-choose-your-own-adventure, s04-take-the-homeownership-class"
Get Ready to Buy a Home,2,c02-get-ready-to-buy-a-home,"Are you ready to start your journey?,Top tips","Are you ready to start your journey?, Top tips","s01-are-you-ready-to-start-your-journey, s02-top-tips"
What's Your Budget?,3,c03-what-s-your-budget,"What it Costs to Own a Home,What Homes Can You Afford?,Setting and Sticking to a Budget,Understanding Your Credit,How to Increase Your Budget","What it Costs to Own a Home, What Homes Can You Afford?, Setting and Sticking to a Budget, Understanding Your Credit, How to Increase Your Budget","s01-what-it-costs-to-own-a-home, s02-what-homes-can-you-afford, s03-setting-and-sticking-to-a-budget, s04-understanding-your-credit, s05-how-to-increase-your-budget"
Choose Your Homebuying Team,4,c04-choose-your-homebuying-team,"Meet the Team!,Get a Housing Counselor!,Finding a Realtor,Finding financial help to buy a home","Meet the Team!, Get a Housing Counselor!, Finding a Realtor, Finding financial help to buy a home","s01-meet-the-team, s02-get-a-housing-counselor, s03-finding-a-realtor, s04-finding-financial-help-to-buy-a-home"
Get Pre-Approved for a Mortgage,5,c05-get-pre-approved-for-a-mortgage,"Loan terms,Shopping for loans and finding a lender,Getting pre-approved,FAQ on mortgage options","Loan terms, Shopping for loans and finding a lender, Getting pre-approved, FAQ on mortgage options","s01-loan-terms, s02-shopping-for-loans-and-finding-a-lender, s03-getting-pre-approved, s04-faq-on-mortgage-options"
Find a Home and Make an Offer,6,c06-find-a-home-and-make-an-offer,"Decide what you need and want in a home,What to know about any home you might buy,The Offer Process,Selecting an inspector,Understanding your appraisal,Credits and negotiating","Decide what you need and want in a home, What to know about any home you might buy, The Offer Process, Selecting an inspector, Understanding your appraisal, Credits and negotiating","s01-decide-what-you-need-and-want-in-a-home, s02-what-to-know-about-any-home-you-might-buy, s03-the-offer-process, s04-selecting-an-inspector, s05-understanding-your-appraisal, s06-credits-and-negotiating"
Finalize Your Mortgage,7,c07-finalize-your-mortgage,"Sales price versus loan amount,Loan approval process","Sales price versus loan amount, Loan approval process","s01-sales-price-versus-loan-amount, s02-loan-approval-process"
Close on Your Home,8,c08-close-on-your-home,"Putting money into escrow,Homeowners insurance & other coverage,Reviewing your closing documents,Closing day,Congratulations! You're a homeowner!,What to do after closing","Putting money into escrow, Homeowners insurance & other coverage, Reviewing your closing documents, Closing day, Congratulations! You're a homeowner!, What to do after closing","s01-putting-money-into-escrow, s02-homeowners-insurance-other-coverage, s03-reviewing-your-closing-documents, s04-closing-day, s05-congratulations-you-re-a-homeowner, s06-what-to-do-after-closing"
You're a Homeowner - Protect Your Home,9,c09-you-re-a-homeowner-protect-your-home,"Preventative maintenance,Disaster preparedness and recovery,Insurance coverage & shopping for insurance annually,Taxes & protesting your assessment,Passing your home down to the next generation,Help to keep your home,Homeownership 101: What you can do to protect your home","Preventative maintenance, Disaster preparedness and recovery, Insurance coverage & shopping for insurance annually, Taxes & protesting your assessment, Passing your home down to the next generation, Help to keep your home, Homeownership 101: What you can do to protect your home","s02-preventative-maintenance, s03-disaster-preparedness-and-recovery, s04-insurance-coverage-shopping-for-insurance-annually, s05-taxes-protesting-your-assessment, s06-passing-your-home-down-to-the-next-generation, s07-help-to-keep-your-home, s01-homeownership-101-what-you-can-do-to-protect-your-home"
