,Term,Definition,slug
,mortgage,"A loan from a bank or lender that you pay back over time, usually 15 to 30 years.",t--mortgage
,principal,The amount you borrow to buy your home.,t--principal
,equity,The portion of the home that you truly own.,t--equity
,interest,The lender’s fee for letting you borrow money.,t--interest
,escrow account,A holding account.,t--escrow-account
,down payment,Down payment is the cash you contribute toward the home’s purchase price.,t--down-payment
,earnest money,This is a portion of your down payment that you put into an escrow account during the purchase process.,t--earnest-money
,closing costs,"Fees for the lender, title company, appraisal, inspections, and other costs. It is typically 2% - 5% of the purchase price.",t--closing-costs
,pre-approval amount,The total loan value you can be approved for.,t--pre-approval-amount
